iter	Passed	Remaining
0	175	1755339
1	346	1733681
2	511	1703105
3	675	1688248
4	838	1675962
5	997	1661422
6	1152	1645737
7	1304	1629366
8	1466	1627891
9	1624	1622867
10	1785	1621295
11	1942	1616733
12	2105	1617790
13	2276	1623528
14	2434	1620566
15	2592	1617718
16	2740	1609438
17	2899	1608128
18	3020	1586836
19	3178	1586228
20	3323	1579506
21	3453	1566216
22	3610	1566110
23	3735	1552605
24	3871	1544656
25	4000	1534610
26	4122	1522579
27	4270	1520830
28	4405	1514688
29	4529	1505378
30	4666	1500766
31	4805	1496933
32	4956	1497003
33	5107	1497118
34	5256	1496521
35	5393	1492877
36	5529	1489016
37	5647	1480515
38	5765	1472612
39	5906	1470807
40	6031	1465090
41	6166	1461976
42	6303	1459733
43	6420	1452864
44	6546	1448267
45	6673	1444181
46	6798	1439671
47	6923	1435372
48	7057	1433230
49	7181	1429140
50	7306	1425321
51	7443	1423943
52	7569	1420561
53	7707	1419578
54	7833	1416528
55	7970	1415249
56	8092	1411587
57	8207	1406832
58	8320	1402004
59	8464	1402234
60	8595	1400546
61	8719	1397604
62	8833	1393320
63	8955	1390320
64	9098	1390729
65	9230	1389378
66	9374	1389796
67	9496	1387087
68	9625	1385374
69	9786	1388235
70	9909	1385802
71	10026	1382481
72	10168	1382827
73	10342	1387272
74	10456	1383797
75	10567	1379952
76	10742	1384394
77	10889	1385240
78	11064	1389487
79	11198	1388658
80	11344	1389162
81	11491	1389911
82	11629	1389567
83	11767	1389144
84	11910	1389364
85	12068	1391226
86	12232	1393749
87	12387	1395309
88	12543	1396886
89	12672	1395395
90	12798	1393615
91	12933	1392914
92	13052	1390422
93	13167	1387681
94	13313	1388066
95	13450	1387610
96	13616	1390146
97	13785	1392942
98	13926	1392828
99	14052	1391198
100	14172	1389042
101	14337	1391284
102	14482	1391542
103	14595	1388787
104	14754	1390424
105	14913	1391988
106	15060	1392489
107	15195	1391787
108	15328	1390926
109	15494	1393104
110	15657	1394939
111	15793	1394306
112	15949	1395511
113	16119	1397874
114	16279	1399347
115	16442	1401008
116	16601	1402351
117	16740	1401980
118	16866	1400467
119	17000	1399713
120	17163	1401326
121	17311	1401690
122	17473	1403129
123	17636	1404679
124	17779	1404616
125	17941	1405999
126	18101	1407179
127	18251	1407683
128	18419	1409464
129	18577	1410441
130	18728	1410960
131	18875	1411069
132	19009	1410243
133	19159	1410656
134	19321	1411922
135	19446	1410439
136	19608	1411660
137	19744	1411042
138	19898	1411652
139	20021	1410053
140	20186	1411453
141	20308	1409901
142	20437	1408770
143	20598	1409884
144	20760	1411012
145	20904	1410919
146	21050	1410928
147	21218	1412453
148	21389	1414157
149	21539	1414394
150	21695	1415097
151	21825	1414047
152	21976	1414425
153	22123	1414470
154	22289	1415755
155	22440	1416057
156	22596	1416667
157	22756	1417502
158	22890	1416753
159	23020	1415755
160	23161	1415463
161	23296	1414738
162	23427	1413866
163	23568	1413515
164	23728	1414340
165	23880	1414727
166	24032	1415021
167	24195	1415985
168	24348	1416399
169	24498	1416604
170	24655	1417178
171	24811	1417742
172	24965	1418124
173	25091	1416965
174	25224	1416191
175	25385	1416985
176	25544	1417661
177	25683	1417204
178	25831	1417256
179	25988	1417809
180	26145	1418379
181	26295	1418521
182	26466	1419763
183	26601	1419115
184	26734	1418386
185	26852	1416845
186	26981	1415862
187	27130	1415979
188	27284	1416330
189	27439	1416753
190	27604	1417634
191	27758	1418017
192	27917	1418578
193	28041	1417390
194	28205	1418224
195	28351	1418175
196	28505	1418468
197	28631	1417400
198	28800	1418460
199	28923	1417259
200	29053	1416418
201	29195	1416129
202	29356	1416775
203	29492	1416223
204	29668	1417586
205	29815	1417528
206	29952	1417017
207	30083	1416225
208	30244	1416838
209	30406	1417511
210	30574	1418438
211	30720	1418375
212	30851	1417565
213	31011	1418117
214	31169	1418593
215	31303	1417929
216	31464	1418518
217	31606	1418232
218	31762	1418592
219	31922	1419093
220	32068	1419016
221	32225	1419379
222	32373	1419364
223	32531	1419748
